id;planoconta_id;tipoinstituicao_id
1110;157;3
1111;157;6
1112;158;8
1113;158;9
1114;158;2
1115;158;3
1116;158;6
1117;159;8
1118;159;9
1119;159;2
1120;159;3
1121;159;6
1122;160;8
1123;160;9
1124;160;2
1125;160;3
1126;160;6
1127;161;8
1128;161;9
1129;161;2
1130;161;3
1131;161;6
1132;162;8
1133;162;9
1134;162;2
1135;162;3
1136;162;6
1137;163;8
1138;163;9
1139;163;2
1140;163;3
1141;163;6
1142;166;8
1143;166;9
1144;166;2
1145;166;3
1146;166;6
1147;164;8
1148;164;9
1149;164;2
1150;164;3
1151;164;6
1152;110;8
1153;110;9
1154;110;2
1155;110;3
1156;110;6
1157;111;8
1158;111;9
1159;111;2
1160;111;3
1161;111;6
1162;112;8
1163;112;9
1164;112;2
1165;112;3
1166;112;6
1167;113;8
1168;113;9
1169;113;2
1170;113;3
1171;113;6
1172;114;8
1173;114;9
1174;114;2
1175;114;3
1176;114;6
1177;105;8
1178;105;9
1179;105;2
1180;105;3
1181;105;6
1182;148;8
1183;148;9
1184;148;2
1185;148;3
1186;148;6
1187;149;8
1188;149;9
1189;149;2
1190;149;3
1191;149;6
1192;150;8
1193;150;9
1194;150;2
1195;150;3
1196;150;6
1197;151;8
1198;151;9
1199;151;2
1200;151;3
1201;151;6
1202;152;8
1203;152;9
1204;152;2
1205;152;3
1206;152;6
1207;154;8
1208;154;9
1209;154;2
1210;154;3
1211;154;6
1212;153;8
1213;153;9
1214;153;2
1215;153;3
1216;153;6
1217;1;8
1218;1;9
1219;1;2
1220;1;3
1221;1;6
1222;2;8
1223;2;9
1224;2;2
1225;2;3
1226;2;6
1227;24;8
1228;24;9
1229;24;2
1230;24;3
1231;24;6
1232;25;8
1233;25;9
1234;25;2
1235;25;3
1236;25;6
1237;26;8
1238;26;9
1239;26;2
1240;26;3
1241;26;6
1242;27;8
1243;27;9
1244;27;2
1245;27;3
1246;27;6
1247;28;8
1248;28;9
1249;28;2
1250;28;3
1251;28;6
1252;29;8
1253;29;9
1254;29;2
1255;29;3
1256;29;6
1257;110083;1
1258;110083;2
1259;110083;3
1260;110083;6
1261;110083;8
1262;110083;9
1263;42;8
1264;42;9
1265;42;2
1266;42;3
1267;42;6
1268;110084;9
1269;110085;9
1270;110086;9
1271;110087;9
1272;110088;9
1273;110005;2
1274;110005;3
1275;110005;6
1276;110006;2
1277;110006;3
1278;110006;6
1279;110024;8
1280;110024;9
1281;110024;2
1282;110024;3
1283;110024;6
1284;110089;8
1285;110089;9
1286;110089;2
1287;110089;3
1288;110089;6
1289;40;2
1290;40;3
1291;40;6
1292;41;2
1293;41;3
1294;41;6
1295;3;2
1296;3;3
1297;3;6
1301;110090;8
1302;110090;9
1303;110090;2
1304;110090;3
1305;110090;6
1306;110091;8
1307;110091;9
1308;110091;2
1309;110091;3
1310;110091;6
1311;18;9
1312;36;9
1313;110092;9
1314;110093;9
1315;110093;1
1316;110049;9
1317;110094;9
1318;110095;1
1319;110095;2
1320;110095;3
1321;110095;6
1322;110095;8
1323;110095;9
1324;110095;11
1325;110096;1
1326;110096;2
1327;110096;3
1328;110096;6
1329;110096;8
1330;110096;9
1331;110096;11
1332;110097;1
1333;110097;2
1334;110097;3
1335;110097;6
1336;110097;8
1337;110097;9
1338;110097;11
1339;110098;1
1340;110098;2
1341;110098;3
1342;110098;6
1343;110098;8
1344;110098;9
1345;110098;11
1346;36;2
1347;36;3
1348;36;6
1349;36;8
1350;36;11
1351;36;13
1352;110099;8
1353;110099;9
1354;110099;2
1355;110099;13
1356;110099;1
1357;110100;9
1358;110101;9
1359;110102;9
1360;110103;9
1361;110104;1
1362;110105;9
1363;110106;9
1364;110107;9
1365;110108;9
1366;110109;1
1367;110109;2
1368;110109;3
1369;110109;8
1370;110109;9
1371;110109;11
1372;110110;1
1373;110110;2
1374;110110;3
1375;110110;6
1376;110110;8
1377;110110;9
1378;110110;11
1379;110110;13
1380;110111;9
1382;110105;2
1383;110105;3
1384;110105;6
1385;110105;8
1386;110105;11
1387;110112;11
1388;110112;8
1389;110112;3
1390;110112;6
1391;110112;9
1392;110113;2
1393;110113;3
1394;110113;6
1395;110113;8
1396;110113;9
1397;110113;11
1398;110114;2
1399;110114;3
1400;110114;6
1401;110114;8
1402;110114;9
1403;110114;11
1404;110115;2
1405;110115;3
1406;110115;6
1407;110115;8
1408;110115;9
1409;110115;11
1410;110116;1
1411;110116;2
1412;110116;3
1413;110116;6
1414;110116;8
1415;110116;9
1416;110116;11
1417;110116;13
1418;110117;9
1419;110118;8
1420;110118;9
1421;110118;3
1422;110119;1
1423;110120;1
1424;110120;13
1425;110121;1
1426;110121;13
1427;110122;1
1428;110122;2
1429;110122;3
1430;110122;6
1431;110122;8
1432;110122;9
1433;110122;11
1434;110122;13
1435;110123;1
1436;110123;2
1437;110123;3
1438;110123;8
1439;110123;9
1440;110123;11
1441;110124;1
1442;110124;2
1443;110124;3
1444;110124;8
1445;110124;9
1446;110124;11
1447;110125;1
1448;110125;2
1449;110125;3
1450;110125;8
1451;110125;9
1452;110125;11
1453;110126;1
1454;110126;2
1455;110126;3
1456;110126;8
1457;110126;9
1458;110126;11
1459;110127;1
1460;110127;2
1461;110127;3
1462;110127;8
1463;110127;9
1464;110127;11
1465;110128;1
1466;110128;3
1467;110128;6
1468;110128;8
1469;110128;9
1470;110128;11
1471;110128;13
1472;110129;1
1473;110129;2
1474;110129;3
1475;110129;6
1476;110129;8
1477;110129;9
1478;110129;11
1479;110130;1
1480;110130;2
1481;110130;3
1482;110130;6
1483;110130;8
1484;110130;9
1485;110130;11
1486;110131;1
1487;110131;2
1488;110131;3
1489;110131;6
1490;110131;8
1491;110131;9
1492;110131;11
1493;110131;13
1494;110132;1
1495;110132;2
1496;110132;3
1497;110132;6
1498;110132;8
1499;110132;9
1500;110132;11
1501;110132;13
1502;110133;1
1503;110133;2
1504;110133;3
1505;110133;6
1506;110133;8
1507;110133;9
1508;110133;11
1509;110133;13
1510;110134;1
1511;110134;2
1512;110134;3
1513;110134;6
1514;110134;8
1515;110134;9
1516;110134;11
1517;110134;13
1518;110135;1
1519;110135;2
1520;110135;3
1521;110135;6
1522;110135;8
1523;110135;9
1524;110135;11
1525;110135;13
1526;110136;1
1527;110136;2
1528;110136;3
1529;110136;6
1530;110136;8
1531;110136;9
1532;110136;11
1533;110136;13
1534;110137;1
1535;110137;2
1536;110137;3
1537;110137;6
1538;110137;8
1539;110137;9
1540;110137;11
1541;110137;13
1542;110138;1
1543;110138;2
1544;110138;3
1545;110138;6
1546;110138;8
1547;110138;9
1548;110138;11
1549;110138;13
1550;110139;1
1551;110139;2
1552;110139;3
1553;110139;6
1554;110139;8
1555;110139;9
1556;110139;11
1557;110139;13
1558;110140;1
1559;110140;2
1560;110140;3
1561;110140;6
1562;110140;8
1563;110140;9
1564;110140;11
1565;110140;13
1566;110141;1
1567;110141;2
1568;110141;3
1569;110141;6
1570;110141;8
1571;110141;9
1572;110141;11
1573;110141;13
1574;110142;1
1575;110142;2
1576;110142;3
1577;110142;6
1578;110142;8
1579;110142;9
1580;110142;11
1581;110142;13
1582;110143;1
1583;110143;2
1584;110143;3
1585;110143;6
1586;110143;8
1587;110143;9
1588;110143;11
1589;110143;13
1590;110144;1
1591;110144;2
1592;110144;3
1593;110144;6
1594;110144;8
1595;110144;9
1596;110144;11
1597;110144;13
1598;110145;1
1599;110145;2
1600;110145;3
1601;110145;6
1602;110145;8
1603;110145;9
1604;110145;11
1605;110145;13
1606;110085;1
1607;110085;13
1608;110146;1
1609;110146;2
1610;110146;3
1611;110146;6
1612;110146;8
1613;110146;9
1614;110146;11
1615;110146;13
1616;110147;1
1617;110147;2
1618;110147;3
1619;110147;6
1620;110147;8
1621;110147;9
1622;110147;11
1623;110147;13
1624;110148;9
1625;110149;9
1626;110149;2
1627;110149;13
1628;110149;1
1629;110150;9
1630;110150;2
1631;110150;13
1632;110150;1
1633;110151;8
1634;110152;8
1635;110153;8
1636;110154;8
1637;110155;8
1638;110156;8
1639;110157;8
1640;110158;8
1641;110159;8
1642;110160;8
1643;110161;8
1644;110162;8
1645;110163;8
1646;110164;11
1647;110164;8
1648;110164;3
1649;110164;6
1650;110164;9
1651;110165;11
1652;110165;8
1653;110165;3
1654;110165;6
1655;110165;9
1656;110166;11
1657;110166;8
1658;110166;3
1659;110166;6
1660;110166;9
1661;110167;11
1662;110167;8
1663;110167;3
1664;110167;6
1665;110167;9
1666;110168;1
1667;110168;2
1668;110168;3
1669;110168;8
1670;110168;9
1671;110168;11
1672;110169;1
1673;110169;2
1674;110169;3
1675;110169;6
1676;110169;8
1677;110169;9
1678;110169;11
1679;110170;9
1680;110170;2
1681;110170;1
1682;110171;9
1683;110171;2
1684;110171;1
1704;110175;9
1705;110175;2
1706;110175;3
1707;110175;13
1708;110175;1
1709;110176;9
1710;110176;2
1711;110176;13
1712;110176;1
1716;110177;11
1717;110177;8
1718;110177;3
1719;110177;6
1720;110177;9
1721;110178;11
1722;110178;8
1723;110178;3
1724;110178;6
1725;110178;9
1726;110179;11
1727;110179;8
1728;110179;3
1729;110179;6
1730;110179;9
1731;110180;8
1732;110180;11
1733;110180;9
1734;110180;3
1735;110180;6
1736;110181;1
1737;110181;2
1738;110181;3
1739;110181;6
1740;110181;8
1741;110181;9
1742;110181;11
1743;110181;13
1744;110182;1
1745;110182;2
1746;110182;3
1747;110182;8
1748;110182;9
1749;110182;11
1750;110182;14
1751;110183;2
1752;110183;3
1753;110183;6
1754;110183;8
1755;110183;9
1756;110183;11
1757;110183;14
1758;110184;2
1759;110184;3
1760;110184;6
1761;110184;8
1762;110184;9
1763;110184;11
1764;110184;14
1765;110185;2
1766;110185;3
1767;110185;6
1768;110185;8
1769;110185;9
1770;110185;11
1771;110185;14
1772;110186;2
1773;110186;3
1774;110186;6
1775;110186;8
1776;110186;9
1777;110186;11
1778;110186;14
1779;110187;2
1780;110187;3
1781;110187;6
1782;110187;8
1783;110187;9
1784;110187;11
1785;110187;14
1786;110186;1
1787;110186;13
1788;110187;1
1790;110173;1
1791;110188;1
1792;110189;1
1793;110189;13
1794;110190;9
1795;110191;9
1796;110192;9
1797;110193;9
1798;110194;9
1799;110195;9
1800;110196;9
1801;110197;9
1802;110198;9
1803;110199;9
1804;110200;9
1805;110201;9
